Source,Target,weight
Canadiangrammar,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
stellamaris325,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
nancybnelson,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
aznchristians,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Altered131,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
ArthurGustavo,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
glasstiffany1,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
KarstenPlewnia,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
KROHN2,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Rosalinde2806,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
michellecouk,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
JackRay98517073,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
calvincasino,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Liensevi,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Gabi4Trump,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Lilian63673192,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
715878Jayne,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
beatthesystem1,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
RosaWal90673631,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
theWPMyth,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Manganelli,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
hartfordwolf,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
ukipwebmaster,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
PhilipGarry6,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
DIGITLSPARTN,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Polly01639091,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Adriano14004890,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
WWG1WGA123,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
JimDelRey,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
MamaMac_,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Antonio13111275,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
ulrikeclarke,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
JaclyneParese,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
garrywilliams17,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
AdrianDelta1,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
TAMaTerese,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
pippylongsock1,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
twisted_rabbit,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
DeanDoNotFear,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
almuth_gbler,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
RogerXMathew,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
DMofozi,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
BennySLV,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Philipthespur58,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Gary_SDL,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
GordonPickerin6,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
DerekWh83658379,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
AdrianS39079317,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
rbrtcffmn,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
rayreich1,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Kintu3,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
FedXTennisPicks,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Conway2nd,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
pokefan1007,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
Teresa22796525,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
123prometheus,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
AirXLV,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
merryonthemove,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
KentVera,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
onotcomply,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
AntiEU2,Nigel_Farage,"RT @Nigel_Farage: This will not be happening.

https://t.co/gSKfjgEbjU"
castironcookery,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
GeecJohn,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
SPykeF1fan,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
Marilyn4RedCan,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
Samiaa_T,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
Elam1,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
realABswim_tri,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
Jo_n_the_bxrs,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
BeeQuaif,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
peggy_blair,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
Mom2364,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
nokihu,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
elle__765,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
paulmelanson007,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
focusedpathinc,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
YegBot,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
count_01,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
OlympedeGouges,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
JABenson_Author,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
ewolkcin,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
LACGFY,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
fulfordharbour,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
DShepYEG,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
TariqAKhan1905,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
DebHolloway,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
ProjectsHogan,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
CPPWaxOn,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
brightblonde123,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
Wolfman59230144,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
jenni_israd,RachelNotley,"RT @RachelNotley: There are more than 10,000 active COVID-19 cases in Edmonton. One in every 129 residents has the virus.

To give you a se…"
heartdoc45,PushpaShivaram,"RT @PushpaShivaram: #VAXXED #vaccinatedtosavelives @AUG_Health 
Never been so excited to get a shot 
@purviparwani @iamritu @rajdoc2005 @mm…"
SolomonSAFP,ChadaChanel,RT @ChadaChanel: Some things just require a little common sense 😏#NOI #Farrakhan #antivaxxers #antivaxx #antivax https://t.co/fyHWySLtLH
PensekeBase,ChadaChanel,RT @ChadaChanel: Some things just require a little common sense 😏#NOI #Farrakhan #antivaxxers #antivaxx #antivax https://t.co/fyHWySLtLH
EshanMuhammad1,ChadaChanel,RT @ChadaChanel: Some things just require a little common sense 😏#NOI #Farrakhan #antivaxxers #antivaxx #antivax https://t.co/fyHWySLtLH
SS_BGMaxo,ChadaChanel,RT @ChadaChanel: Some things just require a little common sense 😏#NOI #Farrakhan #antivaxxers #antivaxx #antivax https://t.co/fyHWySLtLH
Jeffreeze114,ChadaChanel,RT @ChadaChanel: Some things just require a little common sense 😏#NOI #Farrakhan #antivaxxers #antivaxx #antivax https://t.co/fyHWySLtLH
RDaovda,ChadaChanel,RT @ChadaChanel: Some things just require a little common sense 😏#NOI #Farrakhan #antivaxxers #antivaxx #antivax https://t.co/fyHWySLtLH
rronald68,ChadaChanel,RT @ChadaChanel: Some things just require a little common sense 😏#NOI #Farrakhan #antivaxxers #antivaxx #antivax https://t.co/fyHWySLtLH
zionwarrior__,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
lisamar81262601,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
omarrymybrother,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
MotherWinter,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
MentaBlanca1,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
1LEOOEL1,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
VickiMCrowley1,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
cecyy310,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Alisha83737871,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
clay_at_play,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
esparta01,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Boris58970349,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
ahncs_kr,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
saulbraverman,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Masterson8550,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
bestnanaraine,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
spinerau,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
RooseJan,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
EffinBartIt,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
ndgonzales,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
JFabianGuilllen,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
jade333xrp,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
tailssouth,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
LindaConnor17,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
troybrisbin,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Gemmy371,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
MelanieJay4,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
DavidNJenn3,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Cheryl84037124,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
dawnearlylight1,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
LindaDicus,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
valadez_deanna,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
FalsePand3mic,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
ZarathushtraBC,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
JThe0philus,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
ladyRobertann,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
ramirez_tuco,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
JPJ14717086,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
TheGinaWilliams,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
deborah24341601,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
SupieraUsted,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
angela_logsdon,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
speechl46384206,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
madaprojectRE,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
craftykindagirl,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
MuttartP,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
papasharma00,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Funkyqueen66,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
bk2sq1,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
AndyTho10107697,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
JuanSan43691068,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
ingersoll_cathy,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
PhuckYourFeelz,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
cmoore91255,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Lablover621,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
ManuelMonzonH,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
CoolOrangeCat,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
VeraCas79488931,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
ClubCommonSens,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
SucksTwidder,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
stephenikojie,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
KateDav25396717,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
nepheshim,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
krdaghan,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Kangeroas,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
franxrusso,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
DivinaMarketera,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Crowebar_67,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
JennieKradel,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
CelisBen,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Cherubian2,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
avtppdave,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
HambySr,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Polly01639091,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Michael31093553,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
katahdin143,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
loveroxeelove,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
dvrthpatriot,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
Raji_kaur1,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
zarconavich,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
LeslieBuchan,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
QPatriota17,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
PedroAn11018071,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
4T_Mexico_,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
boffo17,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
anonymo46955539,RealCandaceO,"RT @RealCandaceO: Dr. Fauci is evil.
Bill Gates is evil.
The pharmaceutical industry is wrought with corruption and pure evil."
RawSource1,EOTStormPodcast,"RT @EOTStormPodcast: How's that vaccine working for you...?

#VaccinePoison #VaccineAgenda #DoNotConsent #SayNoToVaccines #BioTerror #antiv…"
DavyOldsoul,EOTStormPodcast,"RT @EOTStormPodcast: How's that vaccine working for you...?

#VaccinePoison #VaccineAgenda #DoNotConsent #SayNoToVaccines #BioTerror #antiv…"
EOTStormPodcast,EOTStormPodcast,"RT @EOTStormPodcast: How's that vaccine working for you...?

#VaccinePoison #VaccineAgenda #DoNotConsent #SayNoToVaccines #BioTerror #antiv…"
heleoreilly,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
MissesJ3,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
SteelinTN,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
john__aguirre,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
KolokotronisCDN,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
Katiebobs66,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
jeanchle00,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
Cricket708890,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
dayac25f,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
VPalczer,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
CarnetJc,richardursomd,"RT @richardursomd: Is the vaccine safe?? Yes, absolutely it’s .....

No worries, just a little vasovagal https://t.co/9GWinEZRxe"
