Source,Target,weight
IvanaMariaB,Neacht,2
RozeRage,JFTB3,2
IdleBoast,IdleBoast,2
CovidSerology,AncapMayor,2
WakkerW,WLD01,2
Rome42885338,DrMadej,2
CovidSerology,Pilgrim58192938,2
forshumsangt,reeta_iceburg,2
IdleBoast,lovethebacchus,2
Saltimark,marklevinshow,2
IvanaMariaB,Normal103270532,2
Exposkydiveua,realDonaldTrump,2
tabbyday,ZubyMusic,2
RolundDad,GeoRebekah,2
ArcaneKnowledge,maxthelionx,2
Idontthinksokid,simondolan,2
fiski70,goodwithneedles,2
CovidSerology,stevebrown2856,2
RuthAnnHarpur,jonathanstea,2
LeahMcGrathRD,LeahMcGrathRD,2
BARBARA02048143,DrMadej,2
Rosewind2007,MelMcCurtis,2
McRePete,ChrisWickNews,2
Avinash_Yadava,Scimitar_SS,2
CryptoBull2020,Lisatweets444,2
frank_gratton,maxthelionx,2
flochman,NeilFlochMD,2
WAPFLondon,badzoot7,2
francisdon2,Hasampouli,2
B33Mello,ZubyMusic,2
InterBang,sallyKP,2
Rosewind2007,andyco98,2
Meatlegs1,keryn_1,2
OrDSLRge5kQH51V,realDonaldTrump,2
VerseCannon,CNBCtech,2
Artsie_ladie,Phillip70932970,2
IanStockport,IanStockport,2
billsretpal,Geziandme,2
kekedoyoulove45,CNBCtech,2
BarronDemetrio,HowleyReporter,2
daciaisback,DrDanilychevMD,2
Wendy89943849,alexstein99,2
BallouxFrancois,steber232,2
Ishmael_luxury,Ishmael_luxury,2
mcfunny,WAPFLondon,2
CrowleyDawg,MikeTaylorFord1,2
WhatSayMe_USA,HillLisaK,2
Intuition_useit,Intuition_useit,2
JoseTor09884623,JoseTor09884623,2
BeltxaAreta,DrMadej,2
GloriaGlowin,Gudtechnology1,2
sandy84794118,lavoixtheshow,2
allenjoseph5,BpoolWebmasters,2
ashamed_lee,SunshineTheGrey,2
CDidjeridu,realDonaldTrump,2
reeta_iceburg,Ali79596850,2
CCPvirus_,wendywoo6089,2
sarfsee,maxthelionx,2
MALlCE_,PeaknikMicki,2
sastre_8,realDonaldTrump,2
Maraismara1,Maraismara1,2
ashleykoss,heavywomble,2
QueenofStars13,JosephJFlynn1,2
QueenofStars13,kristenhinkson,2
QuietObserver14,DebarringtonH,2
keryn_1,BottomleyFiona,2
MAGASherri,DrMadej,2
scorecard2020,mamadresden1,2
QuinntisG,QuinntisG,2
screamernyc,realDonaldTrump,2
CCPvirus_,HindlesKitchen,2
QuinntisG,thereal_truther,2
GoldenRuleEduc,GeoRebekah,2
lesliev97862060,TeamTrump,2
aspiesmom,ProudYangGang,2
aspiesmom,ZachandMattShow,2
Lyn50694091,simondolan,2
aspiesmom,aspiesmom,2
MariaFrancisci,Bill_Poole1821,2
MCDuwkins,SApprentice11,2
samsonadahpaul,DrMadej,2
amlphx,DrMadej,2
GiaRose32591798,TeamTrump,2
lucky_ned,FreedomFlowers4,2
ann32409,GeoRebekah,2
ChadaChanel,Dameruuu,2
Catharine_L,CCDHate,2
GaryWOsborne,ChrisWickNews,2
PolicyEngineer,Harry4Troy,2
PolicyEngineer,PolicyEngineer,2
angry_here,chryyan,2
loveroxeelove,BallsKraken,2
angelo_bottone,alanshore,2
MRomaniec,KimonaQ,2
Makedni,DrMadej,2
andyco98,Rosewind2007,2
GeorgeStaten7,realDonaldTrump,2
Phillip70932970,Artsie_ladie,2
Princess_BamBam,Princess_BamBam,2
Princess_BamBam,StopNewNormal,2
George_Nguyen,realDonaldTrump,2
Geziandme,CrikeyReally,2
MJSullivan_1701,realDonaldTrump,2
lizzie_x01,TheRealJoeFrom1,2
revcarth,revcarth,2
CallMeDocDeb,GeoRebekah,2
dorset_kate,DrMadej,2
CalifDeplorable,quarteralien,2
amyharlib,DrMadej,2
sallambo7,A_AL900,2
Peakace,realDonaldTrump,2
GrandmaJaneD,DebarringtonH,2
mamadresden1,scorecard2020,2
eribeck2016,AGuyFromCA1,2
marshalotis,DebarringtonH,2
PascalFrank1991,kevinkneeland,2
MelMcCurtis,Rosewind2007,2
LilburnLA,forsakebook,2
LilburnLA,LilburnLA,2
Billspark0,realDonaldTrump,2
Rig1Big,HowleyReporter,2
farscape2000,ABC,2
Bill_Poole1821,MariaFrancisci,2
beatthesystem1,Nigel_Farage,2
feclasby,RustyCrab15,2
Bill49251880,maxthelionx,2
MatthewRehrl,MatthewRehrl,2
steber232,CorrNotCausa,2
Hoglitosis,IdleBoast,2
Rob_AirOne,ByronMidasBurch,2
WyKodie,marklevinshow,2
BettyProctor18,ABC,2
maxthelionx,LeoCast999,2
Hoglitosis,meredithwire,2
kevinallin,kevinallin,2
Hooch64895626,marklevinshow,2
RobertW55872104,realDonaldTrump,2
RobieRobotJr,realDonaldTrump,2
stevebrown2856,CovidSerology,2
keryn_1,Meatlegs1,2
keryn_1,GoodchildEdward,2
esau72x,Faith_By_Works,2
barb78405439,nypost,2
sharingpeace,BusyDrT,2
Patrici58622588,germ_nation14,2
RandyGarrett123,RandyGarrett123,2
laura78539844,realDonaldTrump,2
BrianWo58183314,idiot_salad,2
BrianGPowell,BrianGPowell,2
GrenierYvonne,TeamTrump,2
Gudtechnology1,GloriaGlowin,2
deborah24341601,RealCandaceO,2
b4pGianna,PaulReveresHat,2
GuyLetyn,TeamTrump,2
BpoolWebmasters,allenjoseph5,2
